"Valid Values","Description","source"
"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell","A megakaryocyte progenitor cell that is CD34-negative, CD41-positive and CD42-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD9-positive, CD41-positive megakaryocyte cell","A megakaryocyte cell with is CD9-positive and CD41-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"basophil mast progenitor cell","A cell type that can give rise to basophil and mast cells. This cell is CD34-positive, CD117-positive, CD125-positive, FceRIa-negative, and T1/ST2-negative, and expresses Gata-1, Gata-2, C/EBPa Synonyms: BMCP","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Fc-epsilon RIalpha-low mast cell progenitor","A lineage-negative, Kit-positive, CD45-positive mast cell progenitor that is Fc-epsilon RIalpha-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Fc-epsilon RIalpha-high basophil progenitor cell","A lineage negative, Sca1-negative basophil progenitor cell that is Fc epsilon RIalpha-high.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hematopoietic lineage restricted progenitor cell","A hematopoietic progenitor cell that is capable of developing into only one lineage of hematopoietic cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hematopoietic oligopotent progenitor cell","A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"short term hematopoietic stem cell","A hematopoietic stem cell capable of rapid replenishment of myeloerythroid progenitors and limited self renewal capability. This cell is Kit-positive, Sca1-positive, CD34-positive, CD150-positive, and is Flt3-negative. Synonyms: ST stem cell, ST-HSC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"long term hematopoietic stem cell","A hematopoietic stem cell with long term self renewal capability. This cell is Kit-positive, Sca1-positive, CD150-positive, CD90-low, CD34-negative and Flt3-negative. Synonyms: LT stem cell, LT-HSC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Slamf1-negative multipotent progenitor cell","A hematopoietic progenitor that has restricted self-renewal capability. Cell is Kit-positive, Ly6-positive, CD150-negative and Flt3-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Slamf1-positive multipotent progenitor cell","A hematopoietic progenitor that has some limited self-renewal capability. Cells are lin-negative, Kit-positive, CD34-positive, and Slamf1-positive. Synonyms: KSL cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell","Intraepithelial T cells with a memory phenotype of CD2-positive, CD5-positive, and CD44-positive. Synonyms: memory alpha beta IEL","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T follicular helper cell","A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production. Synonyms: T(FH), Tfh","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-negative multipotent progenitor cell","A hematopoietic multipotent progenitor cell that is CD34-positive, CD38-negative, CD45RA-negative, and CD90-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive, integrin beta7-high basophil mast progenitor cell","A basophil mast progenitor cell that is Beta-7 integrin-high, Kit-positive FcRgammaII/III-positive and Sca1-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"early pro-B cell","A pro-B cell that is CD22-positive, CD34-positive, CD38-positive and TdT-positive (has TdT activity). Pre-BCR is expressed on the cell surface. Cell is CD19-negative, CD20-negative, complement receptor type 2-negative and CD10-low. D-to-J recombination of the heavy chain occurs at this stage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"late pro-B cell","A pre-B cell precursor is CD19-low, CD22-positive , CD34-positive, CD38-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD38-high pre-BCR positive cell","A pre-BCR positive B cell that is CD38-high.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD22-positive, CD38-low small pre-B cell","A small pre-B cell that is CD22-positive and CD38-low. Synonyms: small pre-B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD38-negative immature B cell","An immature B cell that is CD38-negative, CD10-low, CD21-low, and CD22-high.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD14-positive, CD16-negative classical monocyte","A classical monocyte that is CD14-positive, CD16-negative, CD64-positive, CD163-positive. Synonyms: CD16- monocyte, CD16-negative monocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-alpha-positive thymic conventional dendritic cell","A conventional thymic dendritic cell that is CD8-alpha-positive. Synonyms: CD8alpha-alpha-positive thymic conventional dendritic cell, DC.8+.Th","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"melanophage","A melanin-containing macrophage that obtains the pigment by phagocytosis of melanosomes.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T-helper 9 cell","A T-helper cell that is characterized by secreting interleukin 9 and responding to helminth infections. This cell-type can derives from Th2 cells in the presence of TGF-beta and IL-4. Th2 cytokine production is surpressed. Synonyms: T helper cells type 9, T(H)-9 cell, Th9","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pulmonary alveolar type 1 cell","A squamous pulmonary alveolar epithelial cell that is flattened and branched. A pulmonary alveolar type 1 cell covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange. Synonyms: lung type 1 cells, membranous pneumocytes, pulmonary alveolar type I cell, small alveolar cells, squamous alveolar cell, squamous alveolar lining cell, type 1 alveolar epithelial cells, type 1 pneumocyte, type I alveolar cells, type I alveolar epithelial cells, type I pneumocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pulmonary alveolar type 2 cell","A pulmonary alveolar epithelial cell that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants via specialized organelles called alveolar lamellar bodies. This cell type also contributes to tissue repair and can differentiate after injury into a pulmonary alveolar type 1 cell. This cuboidal cell is thicker than squamous alveolar cells, has a rounded apical surface that projects above the level of the surrounding epithelium, and its free surface is covered by short microvilli. Synonyms: cuboidal type II cell, granular pneumocyte, great alveolar cell, lung type 2 cell, type 2 alveolar epithelial cell, type 2 alveolocyte, type 2 pneumocyte, type II alveolar cell, type II alveolar epithelial cell, type II alveolocyte, type II pneumocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic acinar cell","A secretory cell found in pancreatic acini that secretes digestive enzymes and mucins. This cell is a typical zymogenic cell, have a basal nucleus and basophilic cytoplasm consisting of regular arrays of granular endoplasmic reticulum with mitochondria and dense secretory granules. Synonyms: acinar cell of pancreas","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Feyrter cell","A neuroendocrine cell found in the epithelium of the lungs and respiratory tract. This cell type is rounded or elliptical in shape, situated mainly in the basal part of the epithelium; regulates bronchial secretion, smooth muscle contraction, lobular growth, ciliary activity and chemoreception. Cell has an electron-lucent cytoplasm, contains numerous dense-cored vesicles with a clear halo between the core and the limiting membrane. Synonyms: Kultschitzky cell of bronchiole, bronchiolar Kulchitsky cell, respiratory enterochromaffin cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type A enteroendocrine cell","An enteroendocrine cell that produces glucagon.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Purkinje myocyte","Specialized cardiac myocyte that is subendocardially interspersed with the regular cardiac muscle cell. They are uninucleate cylindrical cells, associated end-to-end in long rows, continue from the node to the atrioventricular bundle; relatively short compared to ordinary myocytes but are nearly twice their diameter. Synonyms: Purkinje cell fiber, Purkinje muscle cell, myocytus conducens cardiacus","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type II vestibular sensory cell","Mostly cylindrical, resemble Type 1 in their contents and the presence of a kinocilium and stereocilium apically; much greater variation in size, some almost span the entire thickness of the sensory epithelium, while others are smaller than Type 1; receive multiple efferent nerve boutons around their bases as well as afferent endings, which are small expansions rather than chalices. Synonyms: type 2 vestibular hair cell, type 2 vestibular sensory cell, type II hair cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type I vestibular sensory cell","Bottle-shaped with narrow neck; broad, rounded basal portion where nucleus is located; stereocilia and a single kinocilium is present apically; receive nerve bouton at their base from an afferent cup-shaped (chalice or calyx) nerve ending. Synonyms: type 1 vestibular hair cell, type 1 vestibular sensory cell, type I hair cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enterocyte of epithelium of large intestine","A columnar absorptive epithelial cell found in the epithelium of large intestine, specialized for water and electrolyte absorption. Unlike small intestinal enterocytes, those in the large intestine have fewer apical microvilli. Synonyms: columnar cell of the colon, vacuolar absorptive cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"nodal myocyte","A specialized cardiac myocyte in the sinoatrial and atrioventricular nodes. The cell is slender and fusiform confined to the nodal center, circumferentially arranged around the nodal artery. Synonyms: P cell, cardiac pacemaker cell, myocytus nodalis","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transitional myocyte","Specialized cardiac myocyte which is in the internodal tract and atrioventricular node. The cell is more slender than ordinary atrial myocytes and has more myofibrils than nodal myocytes.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myocardial endocrine cell","The myoendocrine cellis a specialized myocyte localized mainly in the right and left atrial appendages, and also scattered within other areas of the atria and along the conductive system in the ventricular septum. The most conspicuous feature distinguishing myoendocrine cells from other atrial myoctyes is the presence of membane-bounded secretory granules (these granules contain precursor of cardiodilatins or atrial natriuretic polypeptides).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"brush cell of tracheobronchial tree","A rare type of columnar epithelial cell that is part of the tracheobronchial epithelium. This cell is characterized by a distinctive tuft of apical microvilli, which extends into the cytoplasm, and a pear-shaped morphology, broad at the base and tapering to a narrow apex. It plays vital roles in chemosensation, producing cytokines like IL-25, and enhancing mucociliary clearance through acetylcholine release to support mucus movement and airway defense.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endo-epithelial cell","An epithelial cell derived from endoderm.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ecto-epithelial cell","An epithelial cell derived from ectoderm.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"meso-epithelial cell","Epithelial cell derived from mesoderm or mesenchyme. Synonyms: epithelial mesenchymal cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic ductal cell","Epithelial cell found in the ducts of the pancreas. This cell type contributes to the high luminal pH.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic centro-acinar cell","A cubodial epithelial cell that is continuous with the lining of intercalated ducts that drain the acinus. This cell type secretes a high pH solution to aid in activation of zymogens, and can differentiate into endocrine and exocrine pancreatic cell types. Synonyms: centroacinar cell of Langerhans, pancreatic centroacinar cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type II cell of carotid body","This cell resembles a glia cell, express the glial marker S100 and act as a supporting cell to type I cell. This cell is located in a small cluster of type I and type II cells near the fork of the carotid artery. Synonyms: sheath cell of carotid body","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type II cell of adrenal medulla","A chromaffin cell of the adrenal medulla that produces epinephrine. Synonyms: adrenal secreting cell of the adrenal medulla, adrenergic chromaffin cell, epiniphrine secreting cell of the adrenal medulla","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type I cell of adrenal medulla","A chromaffin cell of the adrenal medulla that produces norepinephrine. Synonyms: noradrenergic chromaffin cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Boettcher cell","A Boettcher cell is a polyhedral cells on the basilar membrane of the cochlea, and is located beneath Claudius cells. A Boettcher cell is considered a supporting cell for the organ of Corti, and is present only in the lower turn of the cochlea. These cells interweave with each other, and project microvilli into the intercellular space. Because of their structural specialization, a Boettcher cell is believed to play a significant role in the function of the cochlea. They demonstrate high levels of calmodulin, and may be involved in mediating Ca(2+) regulation and ion transport. Synonyms: Boettcher's cell, Bottcher cell, Bottcher's cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tanycyte","A specialized elongated ventricular ependymal cell with one or more processes that extend into the brain parenchyma or associated blood vessels where they contact blood vessel endothelial cells and/or neurons. These cells are found in the ventricles and circumventricular organs of the brain. They are involved in hormonal regulation, gatekeeping molecules between the bloodstream and cerebrospinal fluid, metabolic sensing, and regulating food intake. Synonyms: stretch cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"specialized cardiac myocyte","A cardiac myocyte that is an excitable cells in the myocardium, specifically in the conducting system of heart.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
